Chapter,Verse,Concept,Keyword,Sanskrit,English,Speaker,Sanskrit ,Swami Adidevananda,Swami Gambirananda,Swami Sivananda,Dr. S. Sankaranarayan,Shri Purohit Swami,chapter,verse,speaker,sanskrit,translation,question,Shloka,Sanskrit Word,English Meaning,Hindi Meaning
13,29,,,,,भगवान,प्रकृत्यैव च कर्माणि क्रियमाणानि सर्वशः| यः पश्यति तथाऽऽत्मानमकर्तारं स पश्यति || 13.29 || ,"He who sees that all acts are done universally by Prakrti alone, and likewise that the self is not the doer, he indeed sees.","And he who sees actions being done in various ways by Nature itself, and also the Self as the non-agent, he sees.","He sees, who sees that all actions are performed solely by Nature and that the Self is without action.","Whoever views all actions as being performed (or all objects as being created) by the Material Cause itself, and at the same time views their own Self as a non-performer (or non-creator) - they view properly.","He who understands that it is only the Law of Nature that brings action to fruition, and that the Self never acts, alone knows the Truth.",,,,,,,,,,
13,30,,,,,भगवान,यदा भूतपृथग्भावमेकस्थमनुपश्यति| तत एव च विस्तारं ब्रह्म सम्पद्यते तदा || 13.30 || ,"When he perceives the independent modes of existence of all beings centered in one, and their expansion from it alone, then he attains Brahman.","When one realizes that the state of diversity of living things is rooted in the One, and that their manifestation also comes from That, then one becomes identified with Brahman.","When a person sees all beings as resting in the One and emanating from the One alone, they then become Brahman.","When he perceives the mutual difference of beings as abiding in One, and its expansion from That alone, at that time he becomes the Brahman.","He who sees the diverse forms of life all rooted in One and growing forth from Him, shall indeed find the Absolute.",,,,,,,,,,
13,31,,,,,भगवान,अनादित्वान्निर्गुणत्वात्परमात्मायमव्ययः| शरीरस्थोऽपि कौन्तेय न करोति न लिप्यते || 13.31 || ,"This supreme Self, though dwelling in the body, is immutable, O Arjuna, being without beginning. It neither acts nor is tainted, as it is without Gunas.","Being without beginning and without end, O son of Kunti, this immutable, supreme Self does not act, nor is It affected [Also translated as tainted.-Tr.], although It exists in the body.","Being without beginning, devoid of any qualities, the Supreme Self, imperishable, though dwelling in the body, O Arjuna, neither acts nor is tainted.","Because this is beginningless, and because this has no qualities, this Supreme Self is changeless and it neither acts nor gets stained [by actions], even though it dwells in the body, O son of Kunti!","The Supreme Spirit, O Prince, is without beginning, has no qualities, and is imperishable. Though it is within the body, it does not act, nor is it affected by action.",,,,,,,,,,
13,32,,,,,भगवान,यथा सर्वगतं सौक्ष्म्यादाकाशं नोपलिप्यते| सर्वत्रावस्थितो देहे तथाऽऽत्मा नोपलिप्यते || 13.32 || ,"As the all-pervading ether is not tainted due to its subtlety, even so, the self abiding in the body is not tainted everywhere.","As the all-pervading space is not defiled, due to its subtlety, similarly the Self, present everywhere in bodies, is not defiled.","As the all-pervading ether is not tainted, due to its subtlety, so the Self seated everywhere in the body is not tainted either.","Just as the all-pervasive Ether is not stained due to its subtlety, in the same way the Self, abiding in the body everywhere, is not stained.","As space, though present everywhere, remains unaffected due to its subtlety, so too the Self, though present in all forms, retains its purity unalloyed.",,,,,,,,,,
13,33,,,,,भगवान,यथा प्रकाशयत्येकः कृत्स्नं लोकमिमं रविः| क्षेत्रं क्षेत्री तथा कृत्स्नं प्रकाशयति भारत || 13.33 || ,"As the one sun illuminates this entire world, so does the Knower of the Field (Ksetrin, the self), O Arjuna, illuminate the entire Field (the body).","As the single sun illuminates this entire world, similarly, O descendant of the Bharata dynasty, the Knower of the field illuminates the entire field.","Just as the one sun illuminates the entire world, so too does the Lord of the field (Supreme Self) illuminate the entire field, O Arjuna.","Just as a single sun illuminates this entire world, so too does the Lord of the Field illuminate the entire Field, O descendant of Bharata!","As the one Sun illuminates the entire earth, so the Lord illuminates the entire universe.",,,,,,,,,,
13,34,,,,,भगवान,क्षेत्रक्षेत्रज्ञयोरेवमन्तरं ज्ञानचक्षुषा| भूतप्रकृतिमोक्षं च ये विदुर्यान्ति ते परम् || 13.34 || ,"Those who thus discern, with the eye of knowledge, the difference between the body or the Field (Ksetra) and the knower of the body or Field-knower (Ksetrajna), and the means of deliverance from the manifested Prakrti, they attain the Supreme.","Those who, through the eye of wisdom, know the distinction between the field and the Knower of the field, and the annihilation of the Matrix of beings, reach the Supreme.","They who, by the eye of knowledge, perceive the distinction between the field and its knower, as well as the liberation from the Nature of being, go to the Supreme.","Those who thus understand, with the knowledge-eye, the inner Soul of the Field and the Field-sensitizer, as well as the deliverance from the Material Cause of the elements—they attain the Supreme.","Those who, with the eyes of wisdom, thus see the difference between Matter and Spirit, and know how to liberate life from the Law of Nature, attain the Supreme.",,,,,,,,,,
14,1,,,,,भगवान,परं भूयः प्रवक्ष्यामि ज्ञानानां ज्ञानमुत्तमम्| यज्ज्ञात्वा मुनयः सर्वे परां सिद्धिमितो गताः || 14.1 || ,"The Lord said, ""I shall declare again another kind of knowledge: It is the best of all forms of knowledge, by knowing which all the sages have attained the state of perfection beyond this world.""","The Blessed Lord said, ""I shall speak again of the supreme knowledge, the best of all knowledge, by realizing which all the contemplatives have reached the highest perfection from here.""","The Blessed Lord said, ""I will again declare to thee that supreme knowledge, the best of all knowledge, having known which all the sages have gone to supreme perfection after this life.""","The Bhagavat said: Further, once again I shall explain the supreme knowledge, the best among knowledges, by knowing which all the seers have gone from here to the Supreme Success.","Lord Shri Krishna continued: Now I will reveal to you the wisdom that is beyond knowledge, by attaining which the sages have reached perfection.",,,,,,,,,,
14,2,,,,,भगवान,इदं ज्ञानमुपाश्रित्य मम साधर्म्यमागताः| सर्गेऽपि नोपजायन्ते प्रलये न व्यथन्ति च || 14.2 || ,"Resorting to this knowledge, partaking in My Nature, they are not born at the time of creation nor do they suffer at the time of dissolution.","Those who attain identity with Me by resorting to this Knowledge are not born even during creation, nor do they suffer pain during dissolution.","Those who, having taken refuge in this knowledge, have attained unity with Me, are neither born at the time of creation nor disturbed at the time of dissolution.","Holding onto this knowledge, they have attained a state with attributes common to Me; they are neither born at the time of creation nor grieve at the time of dissolution.","Dwelling in wisdom and realizing My divinity, they are not reborn when the universe is recreated at the beginning of every cycle, nor are they affected when it is dissolved.",,,,,,,,,,
14,3,,,,,भगवान,मम योनिर्महद्ब्रह्म तस्मिन् गर्भं दधाम्यहम्| संभवः सर्वभूतानां ततो भवति भारत || 14.3 || ,"My womb is the great Brahman (i.e. Prakṛti). In it, I lay the germ. From that, O Arjuna, comes the birth of all beings.","My womb is the great sustainer. In it, I place the seed. From that, O scion of the Bharata dynasty, all things are born.","My womb is the great Brahma; in it I place the germ; thence, O Arjuna, is the birth of all beings.","The mighty Brahman is a womb for Me; and in it I lay seed; from which is the birth of all beings, O descendant of Bharata!","The eternal cosmos is My womb, in which I plant the seed from which all beings are born, O prince!",,,,,,,,,,
14,4,,,,,भगवान,सर्वयोनिषु कौन्तेय मूर्तयः सम्भवन्ति याः| तासां ब्रह्म महद्योनिरहं बीजप्रदः पिता || 14.4 || ,"Whatever forms are produced in any womb, O Arjuna, the Prakṛti is their great womb, and I am the sowing father.","O son of Kunti, whatever forms are born from all the wombs, of them the great sustainer is the womb; I am the father who deposits the seed.","Whatever forms are produced, O Arjuna, in any womb whatsoever, the great Brahma is their womb, and I am the seed-giving father.","O son of Kunti! Whatever manifestations spring up in all the wombs, the mighty Brahman is the womb, and I am the father who sows the seed.","O illustrious son of Kunti! Through whatever wombs men are born, it is the Spirit itself that conceives, and I am their father.",,,,,,,,,,
14,5,,,,,भगवान,सत्त्वं रजस्तम इति गुणाः प्रकृतिसंभवाः| निबध्नन्ति महाबाहो देहे देहिनमव्ययम् || 14.5 || ,"The Gunas of Sattva, Rajas, and Tamas arise from Prakrti and bind the immutable Self in the body, O Arjuna.","O mighty-armed one, the qualities, viz. sattva, rajas, and tamas, born of Nature, are the immutable embodiments belonging to the body.","These qualities, O Arjuna, born of Nature, bind fast in the body of the embodied, the indestructible: purity, passion, and inertia.","The strands, namely the sattva, rajas, and tamas, born from the prime cause (the said mother), bind the changeless embodied soul to the body, O mighty-armed one!","Purity, passion, and ignorance are the qualities that the law of nature brings forth. They fetter the free spirit in all beings.",,,,,,,,,,
14,6,,,,,भगवान,तत्र सत्त्वं निर्मलत्वात्प्रकाशकमनामयम्| सुखसङ्गेन बध्नाति ज्ञानसङ्गेन चानघ || 14.6 || ,"Of these, sattva, being without impurity, is luminous and free from morbidity. It binds, O Arjuna, through attachment to pleasure and knowledge.","Among them, sattva, being pure and nirmala (pure-transparent, i.e., capable of resisting any form of ignorance, and hence an illuminator, i.e. a revealer of Consciousness), is harmless. O sinless one, it binds through attachment to happiness and attachment to knowledge.","Of these, sattva, which is luminous and healthy due to its stainlessness, binds one by attachment to happiness and knowledge, O sinless one.","Among them, the Sattva, being free from impurity, is illuminating and health-giving; and it binds the embodied one with attachment to happiness and also with attachment to knowledge, O sinless one!","O Sinless One! Of these, purity, being luminous, strong, and invulnerable, binds one with its yearning for happiness and illumination.",,,,,,,,,,
14,7,,,,,भगवान,रजो रागात्मकं विद्धि तृष्णासङ्गसमुद्भवम्| तन्निबध्नाति कौन्तेय कर्मसङ्गेन देहिनम् || 14.7 || ,"Know, O Arjuna, that Rajas is of the nature of passion springing from thirst and attachment. It binds the embodied self with attachment to action.","Know rajas to be of the nature of passion, born of hankering and attachment. O son of Kunti, it binds the embodied one through attachment to action.","Know, O Arjuna, that Rajas is of the nature of passion, the source of thirst and attachment; it binds fast the embodied one by attachment to action.","You should know that Rajas is of the nature of desire and is a source of craving-attachment; and it binds the embodied one by attachment to action, O son of Kunti!","Passion, engendered by thirst for pleasure and attachment, binds the soul through its fondness for activities.",,,,,,,,,,
14,8,,,,,भगवान,तमस्त्वज्ञानजं विद्धि मोहनं सर्वदेहिनाम्| प्रमादालस्यनिद्राभिस्तन्निबध्नाति भारत || 14.8 || ,"Know that Tamas is born of false knowledge and deludes all embodied beings. It binds, O Arjuna, with negligence, indolence, and sleep.","On the other hand, know tamas, which deludes all embodied beings, to be born of ignorance. O scion of the Bharata dynasty, it binds through inadvertence, laziness, and sleep.","But know thou Tamas to be born of ignorance, deluding all embodied beings; it binds fast, O Arjuna, through heedlessness, indolence, and sleep.","But, you should also know that Tamas is born of ignorance and deludes all the Embodied; it binds them with negligence, laziness, and sleep, O descendant of Bharata!","But Ignorance, the product of darkness, stupefies the senses of all embodied beings, binding them with chains of folly, indolence, and lethargy.",,,,,,,,,,
14,9,,,,,भगवान,सत्त्वं सुखे सञ्जयति रजः कर्मणि भारत| ज्ञानमावृत्य तु तमः प्रमादे सञ्जयत्युत || 14.9 || ,"Sattva generates attachment to pleasure, Rajas to action, O Arjuna. But Tamas, obscuring knowledge, generates attachment to negligence.","O scion of the Bharata dynasty, sattva attaches one to happiness, rajas to action, while tamas, obscuring knowledge, leads to inadvertence as well.","Sattva attaches to happiness, Rajas to action, O Arjuna, while Tamas, verily shrouding knowledge, attaches to heedlessness.","O descendant of Bharata! The Sattva fully dominates the Embodied in the field of happiness; the Rajas in action; but the Tamas also totally dominates in the field of negligence, by veiling knowledge.","Purity brings happiness, passion brings commotion, and ignorance, which obscures wisdom, leads to a life of failure.",,,,,,,,,,
14,10,,,,,भगवान,रजस्तमश्चाभिभूय सत्त्वं भवति भारत| रजः सत्त्वं तमश्चैव तमः सत्त्वं रजस्तथा || 14.10 || ,"Prevailing over Rajas and Tamas, Sattva predominates, O Arjuna. Prevailing over Tamas and Sattva, Rajas predominates. Prevailing over Rajas and Sattva, Tamas predominates.","O scion of the Bharata dynasty, sattva increases by subduing rajas and tamas; rajas increases by overpowering sattva and tamas; and tamas increases by dominating over sattva and rajas.","Now, O Arjuna, Sattva prevails, having overpowered Rajas and Tamas; then Rajas, having overpowered Sattva and Tamas; and then Tamas, having overpowered Sattva and Rajas.",O descendant of Bharata! The Sattva increases by overpowering the Rajas and the Tamas; the Rajas increases by overpowering the Sattva and the Tamas; and the Tamas increases likewise by overpowering the Sattva and the Rajas.,"O Prince! Purity prevails when passion and ignorance are overcome; passion, when purity and ignorance are overcome; and ignorance when it is overcome by purity and passion.",,,,,,,,,,
14,11,,,,,भगवान,सर्वद्वारेषु देहेऽस्मिन्प्रकाश उपजायते| ज्ञानं यदा तदा विद्याद्विवृद्धं सत्त्वमित्युत || 14.11 || ,"When knowledge, like light, illuminates from all gateways (i.e., the senses), then one should know that Sattva prevails.","When the illumination of knowledge radiates through all the doors of the senses in this body, then one should know that sattva has greatly increased.","When the wisdom-light shines through every gate of this body, then it may be known that Sattva is predominant.","When the knowledge-light arises in all the gates of this body, then one should also know that the Sattva has predominantly increased.","When the light of knowledge gleams forth from all the gates of the body, then be sure that purity prevails.",,,,,,,,,,
14,12,,,,,भगवान,लोभः प्रवृत्तिरारम्भः कर्मणामशमः स्पृहा| रजस्येतानि जायन्ते विवृद्धे भरतर्षभ || 14.12 || ,"Greed, activity, undertaking of work, restlessness, and longing—these arise, O Arjuna, when Rajas predominates.","O best of the Bharata dynasty, when rajas becomes predominant, these come into being: avarice, restlessness, undertaking of actions, agitation, and craving.","Greed, activity, the undertaking of actions, restlessness, and longing—these arise when Rajas is predominant, O Arjuna.","Greed, exertion, undertaking of actions, restlessness, and craving—these are born when Rajas predominates, O chief of the Bharatas!","O best of Indians! Avarice, the impulse to act, and the beginning of action itself are all due to the dominance of passion.",,,,,,,,,,
14,13,,,,,भगवान,अप्रकाशोऽप्रवृत्तिश्च प्रमादो मोह एव च| तमस्येतानि जायन्ते विवृद्धे कुरुनन्दन || 14.13 || ,"Non-illumination, inactivity, negligence, and even delusion—these arise, O Arjuna, when Tamas prevails.","O descendant of the Kuru dynasty, when tamas predominates, these come into being without exception: non-discrimination, inactivity, inadvertence, and delusion.","Darkness, inertia, carelessness, and delusion—these arise when Tamas is predominant, O Arjuna.","Absence of mental illumination, lack of exertion, negligence, and mere delusion—these are born when Tamas predominates, O darling of the Kurus!","Darkness, stagnation, folly, and infatuation are the results of the dominance of ignorance, O joy of the Kuru clan!",,,,,,,,,,
14,14,,,,,भगवान,यदा सत्त्वे प्रवृद्धे तु प्रलयं याति देहभृत्| तदोत्तमविदां लोकानमलान्प्रतिपद्यते || 14.14 || ,"If the embodied self dissolves when Sattva prevails, then it proceeds to the pure worlds of those who know the highest.","When an embodied one undergoes death while sattva is exclusively predominant, then he attains the untainted worlds of those who know the highest (entities).","If the embodied one meets death when Sattva is predominant, then they attain the spotless worlds of the knowers of the Highest.","But if the body-bearer dies when sattva is on the increase, then he attains to the spotless worlds of those who know the highest.","When purity prevails, the soul, upon leaving the body, passes on to the pure regions where those who know the Highest reside.",,,,,,,,,,
14,15,,,,,भगवान,रजसि प्रलयं गत्वा कर्मसङ्गिषु जायते| तथा प्रलीनस्तमसि मूढयोनिषु जायते || 14.15 || ,"When Rajas is prevalent, one meets with dissolution and is born among those attached to work. Similarly, when Tamas prevails, one who has met with dissolution is born in the womb of beings lacking intelligence.","When one dies while rajas predominates, they are born among people attached to activity. Similarly, when one dies while tamas predominates, they take birth among the stupid species.","Meeting death in Rajas, he is born among those who are attached to action; and dying in Tamas, he is born in the womb of the thoughtless.","By meeting death when Rajas is on the increase, he is born among those who are attached to action; likewise, by meeting death when Tamas is on the increase, he is born in the wombs of the deluded.","When passion prevails, the soul is reborn among those who love activity; when ignorance rules, it enters the wombs of the ignorant.",,,,,,,,,,
14,16,,,,,भगवान,कर्मणः सुकृतस्याहुः सात्त्विकं निर्मलं फलम्| रजसस्तु फलं दुःखमज्ञानं तमसः फलम् || 14.16 || ,It is said that the fruit of a good deed is pure and of the nature of Sattva; the fruit of Rajas is pain; and the fruit of Tamas is ignorance.,They say that the result of good work is pure and is born of Sattva. But the result of Rajas is sorrow; the result of Tamas is ignorance.,"They say that the fruit of good action is Sattvic and pure; indeed, the fruit of Rajas is pain, and the fruit of Tamas is ignorance.","It is said that the fruit of good action is spotless and of the Sattva nature; whereas the fruit of Rajas is pain, and the fruit of Tamas is ignorance.","They say the fruit of a meritorious action is spotless and pure; the outcome of passion is misery, and of ignorance, darkness.",,,,,,,,,,
14,17,,,,,भगवान,सत्त्वात्सञ्जायते ज्ञानं रजसो लोभ एव च| प्रमादमोहौ तमसो भवतोऽज्ञानमेव च || 14.17 || ,"From Sattva arises knowledge, from Rajas arises greed, from Tamas arises negligence and delusion, and from it arises ignorance.","From sattva is born knowledge, and from rajas, avarice indeed. From tamas are born inadvertence, delusion, and ignorance, to be sure.","From Sattva arises knowledge, and greed from Rajas; heedlessness and delusion arise from Tamas, and also ignorance.","From Sattva arises wisdom; from Rajas, only greed; and from Tamas arise negligence, delusion, and ignorance.","Purity engenders wisdom, passion avarice, and ignorance folly, infatuation, and darkness.",,,,,,,,,,
14,18,,,,,भगवान,ऊर्ध्वं गच्छन्ति सत्त्वस्था मध्ये तिष्ठन्ति राजसाः| जघन्यगुणवृत्तिस्था अधो गच्छन्ति तामसाः || 14.18 || ,"Those who rest in Sattva ascend upwards; those who abide in Rajas stay in the middle; and those, abiding in the tendencies of Tamas descend downwards.","People who conform to sattva go higher up; those who conform to rajas stay in the middle; those who conform to tamas, who conform to the actions of the lowest quality, go down.","Those seated in Sattva ascend; those of Rajasic nature dwell in the middle; and those of Tamasic nature, abiding in the function of the lowest Guna, descend.","Those established in Sattva ascend; those given to Rajas remain in the middle; those given to Tamas, established in the tendencies of bad qualities, descend.","When purity is in the ascendant, the man evolves; when passion is in the ascendant, he neither evolves nor degenerates; when ignorance is in the ascendant, he is lost.",,,,,,,,,,
14,19,,,,,भगवान,नान्यं गुणेभ्यः कर्तारं यदा द्रष्टानुपश्यति| गुणेभ्यश्च परं वेत्ति मद्भावं सोऽधिगच्छति || 14.19 || ,"When the seer beholds no agent of action other than the Gunas, and knows what is beyond the Gunas, he attains to My state.","When the witness sees none other than the qualities as the agent, and knows that which is superior to the qualities, he attains My nature.","When the seer beholds no agent other than the Gunas and knows that which is higher than them, he attains to My Being.","When the Perceiver (the Self) finds no agent other than the Strands, and realizes That which is beyond the Strands, then he attains My state.","As soon as one understands that it is only the qualities that act and nothing else, and perceives that which is beyond, they attain My divine nature.",,,,,,,,,,
14,20,,,,,भगवान,गुणानेतानतीत्य त्रीन्देही देहसमुद्भवान्| जन्ममृत्युजरादुःखैर्विमुक्तोऽमृतमश्नुते || 14.20 || ,"The embodied Self, crossing beyond these three Gunas that arise in the body, and being freed from birth, death, aging, and pain, attains immortality.","Having transcended these three qualities, which are the origin of the body, the embodied one becomes free from birth, death, old age, and sorrows, and experiences Immortality.","The embodied one, having crossed beyond these three Gunas from which the body is evolved, is freed from birth, death, decay, and pain, and attains immortality.","Transcending these three strands, from which the body [etc.] is born, the embodied (the soul) is freed from birth, death, old age, and sorrow, and attains immortality.","When the soul transcends the Qualities, which are the real cause of physical existence, then, freed from birth and death, from old age and misery, he drinks the nectar of immortality.",,,,,,,,,,
14,21,,,,,अर्जुन,कैर्लिंगैस्त्रीन्गुणानेतानतीतो भवति प्रभो| किमाचारः कथं चैतांस्त्रीन्गुणानतिवर्तते || 14.21 || ,"Arjuna said, ""What are the marks of a person who has transcended the three Gunas? What is their behavior? And how do they transcend the three Gunas?""","Arjuna said, ""O Lord, by what signs is one known who has gone beyond these three qualities? What is their behavior, and how do they transcend these three qualities?""","Arjuna said, ""What are the marks of one who has transcended the three qualities, O Lord? What is their conduct, and how do they go beyond these three qualities?""","Arjuna said, ""O Master! With what characteristic marks does he who has transcended these three strands exist? What is his behavior? How does he pass beyond these three strands?""","Arjuna asked, ""My Lord, how can one recognize someone who has transcended the qualities? How do they act and live beyond them?""",,,,,,,,,,
14,22,,,,,भगवान,प्रकाशं च प्रवृत्तिं च मोहमेव च पाण्डव| न द्वेष्टि सम्प्रवृत्तानि न निवृत्तानि काङ्क्षति || 14.22 || ,"The Lord said, ""He does not hate illumination, nor activity, nor even delusion, O Arjuna, while these prevail, nor does He long for them when they cease.""","The Blessed Lord said, ""O son of Pandu, he neither dislikes illumination (knowledge), activity, nor delusion when they appear, nor does he long for them when they disappear.""","The Blessed Lord said, ""When light, activity, and delusion are present, he does not hate them, nor does he long for them when they are absent.","The Bhagavat said, ""O son of Pandu! He neither abhors nor craves for illumination, exertion, and delusion, as and when they arise or cease to be.""",Lord Shri Krishna replied: O Prince! He who does not shun the quality that is present and does not long for that which is absent;,,,,,,,,,,
14,23,,,,,भगवान,उदासीनवदासीनो गुणैर्यो न विचाल्यते| गुणा वर्तन्त इत्येव योऽवतिष्ठति नेङ्गते || 14.23 || ,"He who sits like one unconcerned, undisturbed by the Gunas; who knows, 'It is the Gunas that are in motion,' and so remains unshaken;","He who, sitting like one indifferent, is not distracted by the three qualities; he who, thinking that the qualities alone act, remains firm and does not move surely;","He who, seated like one unconcerned, is not moved by the dualities, and who, knowing that the dualities are active, is self-centered and does not move.","He who, sitting like an unconcerned person, is not perturbed by the strands; who is ignorant of the existence of the strands; or who remains simply aware that the strands alone exist; who is not shaken;","He who maintains an attitude of indifference, who is not disturbed by the qualities, who realizes that it is only they who act, and remains calm;",,,,,,,,,,
14,24,,,,,भगवान,समदुःखसुखः स्वस्थः समलोष्टाश्मकाञ्चनः| तुल्यप्रियाप्रियो धीरस्तुल्यनिन्दात्मसंस्तुतिः || 14.24 || ,"He who is alike in pleasure and pain, who dwells in his Self, who looks upon a clod, a stone, and a piece of gold as of equal value, who remains the same towards things dear and hateful, and who is intelligent, who regards both blame and praise of himself as equal.","He to whom sorrow and happiness are alike, who is established in his own Self, to whom a lump of earth, iron, and gold are the same, to whom the agreeable and the disagreeable are the same, who is wise, to whom censure and his own praise are the same;","Who is the same in pleasure and pain, who dwells in the Self, to whom a clod of earth, a stone, and gold are all alike, who is the same to the dear and the unfriendly, who is firm, and to whom censure and praise are one and the same.","To whom pain, pleasure, and sleep are all the same; to whom a cold, a stone, and a lump of gold are all the same; to whom both the pleasant and unpleasant things are equal; who is firm-minded; to whom blame and personal commendation are equal.","Who accepts pain and pleasure as they come, is centered in their Self, to whom a piece of clay, stone, or gold are all the same, who neither likes nor dislikes, who is steadfast, indifferent alike to praise or censure;",,,,,,,,,,
14,25,,,,,भगवान,मानापमानयोस्तुल्यस्तुल्यो मित्रारिपक्षयोः| सर्वारम्भपरित्यागी गुणातीतः स उच्यते || 14.25 || ,"He who is the same in honor and dishonor, and the same to friend and foe, and who has abandoned all enterprises—he is said to have risen above the Gunas.","He who is the same under honor and dishonor, who is equitably disposed towards both friends and foes, who has renounced all undertakings—he is said to have gone beyond dualities.","Who is the same in honor and dishonor, the same to friend and foe, abandoning all undertakings, he is said to have transcended the dualities.","Who remains equal to honor and dishonor, and equal to the sides of both the friend and the foe; and who has given up all fruits of his actions—he is said to have transcended the bonds.","Who looks equally upon honor and dishonor, loves friends and foes alike, and abandons all initiative, such is he who transcends the qualities.",,,,,,,,,,
14,26,,,,,भगवान,मां च योऽव्यभिचारेण भक्ितयोगेन सेवते| स गुणान्समतीत्यैतान् ब्रह्मभूयाय कल्पते || 14.26 || ,"And he who, with unwavering devotion through Yoga, serves Me, he, transcending the Gunas, becomes fit for the state of Brahman.","And he who serves Me through the unswerving Yoga of Devotion, he, having gone beyond these qualities, qualifies for becoming Brahman.","And he who serves Me with unwavering devotion, he, crossing beyond the dualities, is fit for becoming Brahman.","Whoever serves me alone with an unwavering devotion to yoga, they will transcend these strands and become Brahman.","And he who serves Me alone, with unwavering devotion, shall overcome the Qualities and become one with the Eternal.",,,,,,,,,,
14,27,,,,,भगवान,ब्रह्मणो हि प्रतिष्ठाऽहममृतस्याव्ययस्य च| शाश्वतस्य च धर्मस्य सुखस्यैकान्तिकस्य च || 14.27 || ,"For I am the ground of Brahman, the immortal, immutable, and eternal Dharma, and perfect bliss.","For I am the Abode of Brahman—the indestructible, immutable, eternal, Dharma, and absolute Bliss.","For I am the abode of Brahman, the immortal, immutable, and everlasting Dharma, and absolute bliss.","I' am the support for the immortal and changeless Brahman and for its eternal attribute, the unalloyed happiness.","For I am the home of the spirit, the continual source of immortality, eternal righteousness, and infinite joy.",,,,,,,,,,
15,1,,,,,भगवान,ऊर्ध्वमूलमधःशाखमश्वत्थं प्राहुरव्ययम्| छन्दांसि यस्य पर्णानि यस्तं वेद स वेदवित् || 15.1 || ,"The Lord said, ""They speak of an immutable Asvattha tree with its roots above and branches below; its leaves are the Vedas. He who knows it knows the Vedas.""","The Blessed Lord said, ""They say that the peepul tree, which has its roots upward and its branches downward, and of which the Vedas are the leaves, is imperishable. He who realizes it is a knower of the Vedas.""","The Blessed Lord said: They (the wise) speak of the indestructible peepul tree, with its roots above and branches below, whose leaves are the meters or hymns; he who knows it is a knower of the Vedas.","The Bhagavat said, [The scriptures] speak of a non-perishing holy fig tree, whose roots are high and branches are low, and of which the [Vedic] hymns are the leaves. He who knows this tree is the knower of the Vedas.","Lord Shri Krishna continued: This phenomenal creation, which is both ephemeral and eternal, is like a tree, with its seed above in the Highest and its ramifications below on this earth. The scriptures are its leaves, and he who understands this knows.",,,,,,,,,,
15,2,,,,,भगवान,अधश्चोर्ध्वं प्रसृतास्तस्य शाखा गुणप्रवृद्धा विषयप्रवालाः| अधश्च मूलान्यनुसन्ततानि कर्मानुबन्धीनि मनुष्यलोके || 15.2 || ,"(a) Its branches extend both above and below, nourished by the Gunas. Their shoots are sense objects. 

(b) And their secondary roots extend downwards, resulting in actions that bind in the world of humans.","The branches of that Tree, extending downwards and upwards, are strengthened by the qualities and have sense-objects as their shoots. And the roots, which are followed by actions, spread downwards in the human world [According to A.G. and M.S. manusya-loke means a body distinguished by Brahminhood etc.].","Its branches spread below and above, nourished by the Gunas; its buds are sense-objects, and its roots stretch forth below in the world of men, originating action.","Of which tree, the branches spreading downward and upward, well-developed with strands, have sense objects as sprouts; and its roots below in the human world, stretching successively, have actions as their sub-knots.","Its branches shoot upwards and downwards, deriving their nourishment from the qualities; its buds are the objects of sense; and its roots, which follow the law, causing man's regeneration and degeneration, pierce downwards into the soil.",,,,,,,,,,
15,3,,,,,भगवान,न रूपमस्येह तथोपलभ्यते नान्तो न चादिर्न च संप्रतिष्ठा| अश्वत्थमेनं सुविरूढमूल मसङ्गशस्त्रेण दृढेन छित्त्वा || 15.3 || ,"Its form is not perceived here, nor its end, nor its beginning, nor its support. Having cut off this firmly-rooted Asvattha with the strong axe of detachment.","Its form is not perceived here in that way; nor its end, nor beginning, nor its continuance. After felling this Peepul tree whose roots are well developed, with the strong sword of detachment.","Its form is not perceived here as such, nor its end, origin, foundation, or resting place; having cut asunder this firmly rooted peepul tree with the strong axe of non-attachment.","The nature of this is not perceived in that way, nor its end, nor its beginning, nor its center (middle). Cutting this holy fig tree, with its firmly and variedly grown roots, by means of the sharp (or strong) axe of non-attachment;","In this world, its true form is not known, neither its origin nor its end, and its strength is not understood—until the tree, with its roots striking deep into the earth, is hewn down by the sharp axe of non-attachment.",,,,,,,,,,
15,4,,,,,भगवान,ततः पदं तत्परिमार्गितव्य यस्मिन्गता न निवर्तन्ति भूयः| तमेव चाद्यं पुरुषं प्रपद्ये यतः प्रवृत्तिः प्रसृता पुराणी || 15.4 || ,"Then, one should seek that goal, attaining which one never returns. One should seek refuge with that Primal Person from whom this ancient activity streamed forth.","Thereafter, that state must be sought, going where they do not return again: I take refuge in that Primeval Person Himself, from whom the eternal Manifestation has ensued.","Then, that goal should be sought for, to which, having gone, none returns again. I seek refuge in that Primeval Purusha, from whence streamed forth the ancient activity or energy.","Then, that Abode must be sought, having reached which one would not return. The Yogin would attain nothing but that Primal Person, from Whom the old activity (world creation) commences.","Beyond lies the path, from which, once found, there is no return. This is the Primal God from whom this ancient creation has sprung.",,,,,,,,,,
